Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
R34,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R47,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R85,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R81,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R59,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R46,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R48,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R35,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R36,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R33,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R2,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R21,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R50,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R64,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R74,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R83,resistor,100,1206Standard,RC1206FR-07100RL,,,,,
R53,resistor,120 Ohm,1210Standard,RC1210FR-07120RL,,,,,
R82,resistor,330,1206Standard,RC1206FR-07330RL,,,,,
R1,resistor,xxx,1206Standard,DO NOT POPULATE,,,,,
R101,resistor,xxx,1206Standard,DO NOT POPULATE,,,,,
U12,SN74HC08,SN74HC08D,SO14NB,SN74HC08D,,,,,
U22,SN74HC08,SN74HC08D,SO14NB,SN74HC08D,,,,,
U7,SN74HC21,SN74HC21D,SO14NB,SN74HC21D,,,,,
U9,SN74HC21,SN74HC21D,SO14NB,SN74HC21D,,,,,
J14,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J4,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J15,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J1,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J2,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J5,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J3,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J8,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J6,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J7,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J9,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J12,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J10,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J11,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
J13,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
VIN,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
GND,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
CIN,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
PCOUT,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
COUT,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
HVGND,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
HV,SpadeConnector,,FEMALE_0-11,534-3534,mouser part number,,,,
D1,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
D6,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
D11,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
D16,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
D25,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
D32,diode,1000V Ultrafast,0_45Inch,UF4007,,,,,
USB,USB_TYPE_B,,USER,67068-8110,,,,,
D3,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D9,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D13,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D19,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D29,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D35,ZenerDiode,8.2v 5w,SMB,3SMAJ5923B-TP,,,,,
D7,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D15,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D33,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D31,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D17,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D5,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D4,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D8,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D18,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D14,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D34,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D30,ZenerDiode,17V 5W,SMB,1SMB5930BT3G,,,,,
D2,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D10,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D12,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D22,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D26,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D36,ZenerDiode,24v Zener,SMB,1SMB5934BT3G,,,,,
D20,schottky diode,MBRAF360T3G,SMB,MBRAF360T3G,,,,,
D21,TVS diode,SMA6J24A-TP,SMB,SMA6J24A-TP,,,,,
