Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
C150,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C148,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C153,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C146,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C147,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C149,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C19,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C24,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C34,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C89,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C88,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C102,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C107,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C141,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C152,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C151,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C82,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C65,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C67,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C55,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C128,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C131,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C136,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C140,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C133,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C22,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C21,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C28,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C27,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C86,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C87,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C92,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C91,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C138,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C139,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C144,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C143,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C45,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C31,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C20,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C96,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C124,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C11,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C35,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C44,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C46,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C81,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C26,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C2,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C48,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C63,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C162,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C17,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C113,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C132,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C157,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C51,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C64,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C115,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C119,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C161,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C163,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C49,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C68,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C116,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C120,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C159,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C125,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C114,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C118,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C158,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C38,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C66,mlcc capacitor,30pF,1206Standard,C1206C300J5GACTU,,,,,
C70,mlcc capacitor,30pF,1206Standard,C1206C300J5GACTU,,,,,
C5,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
C69,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
C93,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
C121,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
C145,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
C29,mlcc capacitor,100pF,1206Standard,CC1206JRNPO9BN101,,,,,
